"cvegeo","fecha","J029","J189","J209","J441","J459","nomgeo","NO2","PM10","PM25","RH","TMP"
" 9002","2018",6,99,3,1,29,"Azcapotzalco",31.077693939209,48.5560874938965,23.1465625762939,55.4969749450684,17.0918521881104
" 9002","2019",4,123,1,0,14,"Azcapotzalco",28.7359104156494,44.802619934082,26.826229095459,53.3586273193359,17.126443862915
" 9002","2020",0,48,0,0,15,"Azcapotzalco",24.4904117584229,38.7029151916504,19.4144744873047,51.3810997009277,17.9395923614502
" 9002","2021",3,33,0,2,5,"Azcapotzalco",27.5720252990723,44.7117233276367,22.0983924865723,49.7108917236328,16.6841125488281
" 9002","2022",2,75,1,1,14,"Azcapotzalco",27.349946975708,45.475513458252,22.0294036865234,51.4533081054688,16.6169834136963
" 9003","2018",5,202,0,0,28,"CoyoacÃ¡n",23.7901172637939,38.7038383483887,23.1465644836426,55.6221313476562,17.303337097168
" 9003","2019",5,162,1,1,37,"CoyoacÃ¡n",20.8614082336426,42.7242393493652,20.7781410217285,52.0003089904785,16.2915477752686
" 9003","2020",2,67,0,0,17,"CoyoacÃ¡n",18.0533905029297,36.0623893737793,17.6258087158203,51.4425849914551,17.2579250335693
" 9003","2021",0,81,0,0,20,"CoyoacÃ¡n",20.2806625366211,34.3351287841797,18.5286102294922,53.1134605407715,15.6957902908325
" 9003","2022",2,200,0,0,57,"CoyoacÃ¡n",20.9474773406982,34.9210929870605,18.823694229126,53.1445083618164,15.7987661361694
" 9004","2018",0,64,0,0,3,"Cuajimalpa de Morelos",20.5705261230469,30.7949962615967,23.1465625762939,60.1260833740234,11.7996778488159
" 9004","2019",2,67,0,1,1,"Cuajimalpa de Morelos",19.5423107147217,42.1732788085938,19.7285079956055,55.654842376709,15.0085878372192
" 9004","2020",0,43,0,0,1,"Cuajimalpa de Morelos",15.1574440002441,31.1190414428711,14.8486089706421,52.6848526000977,14.2808332443237
" 9004","2021",1,20,0,0,2,"Cuajimalpa de Morelos",15.9171829223633,29.7826499938965,12.4768886566162,62.0076446533203,14.7728204727173
" 9004","2022",4,59,1,0,7,"Cuajimalpa de Morelos",17.2688541412354,28.5702857971191,16.2980613708496,58.2676277160645,14.3084030151367
" 9005","2018",42,285,1,7,66,"Gustavo A. Madero",30.9395923614502,62.2080917358398,23.1465606689453,55.2064170837402,17.4717655181885
" 9005","2019",51,317,1,3,79,"Gustavo A. Madero",26.4800510406494,45.8771591186523,24.3117542266846,53.860466003418,17.6792221069336
" 9005","2020",16,214,1,1,33,"Gustavo A. Madero",23.9488525390625,42.2790336608887,20.101432800293,51.7343902587891,18.29762840271
" 9005","2021",7,111,0,1,35,"Gustavo A. Madero",25.1053371429443,48.2329368591309,23.3127136230469,51.832447052002,17.1613655090332
" 9005","2022",16,194,1,3,99,"Gustavo A. Madero",24.5536041259766,50.4889030456543,21.8368625640869,51.4264068603516,17.253044128418
" 9006","2018",6,63,0,0,4,"Iztacalco",29.9346466064453,46.7932167053223,23.1465625762939,54.0522384643555,17.6200008392334
" 9006","2019",10,70,0,0,3,"Iztacalco",26.7941741943359,44.2861366271973,22.2443923950195,51.5963516235352,17.1776523590088
" 9006","2020",2,40,1,0,8,"Iztacalco",22.4085063934326,39.8167037963867,21.6309299468994,51.3576507568359,18.4602241516113
" 9006","2021",3,21,0,0,1,"Iztacalco",26.1551361083984,38.5568771362305,22.0374050140381,50.6359214782715,16.519287109375
" 9006","2022",3,40,1,0,4,"Iztacalco",26.9554996490479,40.1128387451172,20.5014934539795,51.0928535461426,16.7729663848877
" 9007","2018",29,470,4,2,62,"Iztapalapa",25.0243835449219,44.2032203674316,23.1465625762939,54.980052947998,17.1769752502441
" 9007","2019",26,503,3,5,40,"Iztapalapa",22.5599136352539,44.4062118530273,23.4343395233154,52.2950744628906,17.0882434844971
" 9007","2020",9,252,2,0,16,"Iztapalapa",20.1125316619873,41.0585289001465,21.1340713500977,51.7758560180664,18.0397911071777
" 9007","2021",9,223,0,0,21,"Iztapalapa",23.5794448852539,43.3783531188965,22.0018062591553,51.5305404663086,16.3626327514648
" 9007","2022",11,232,0,2,51,"Iztapalapa",23.3481044769287,40.8256683349609,21.3772296905518,51.9462471008301,16.7253475189209
" 9008","2018",0,71,0,0,8,"La Magdalena Contreras",18.5337066650391,33.3291091918945,23.1465606689453,60.3966903686523,12.5611972808838
" 9008","2019",0,84,0,0,19,"La Magdalena Contreras",16.546688079834,42.3493309020996,20.3476104736328,53.3342018127441,14.9041318893433
" 9008","2020",2,40,0,1,7,"La Magdalena Contreras",13.9413681030273,31.8727359771729,17.7026214599609,52.1499366760254,13.9804210662842
" 9008","2021",0,10,0,0,7,"La Magdalena Contreras",12.963324546814,34.492115020752,14.1957759857178,66.568115234375,14.5733299255371
" 9008","2022",0,30,0,1,5,"La Magdalena Contreras",17.3695907592773,32.3121871948242,17.7063770294189,58.4454536437988,14.2380409240723
" 9009","2018",1,32,0,0,6,"Milpa Alta",18.3212299346924,42.4797058105469,23.1465625762939,62.5138664245605,11.0030164718628
" 9009","2019",2,55,0,0,0,"Milpa Alta",11.4825887680054,44.8246841430664,22.0042915344238,53.8616523742676,15.397087097168
" 9009","2020",1,30,0,0,3,"Milpa Alta",11.1389331817627,40.8700981140137,18.9066123962402,51.9197463989258,13.4535226821899
" 9009","2021",1,18,0,0,5,"Milpa Alta",4.21813154220581,38.5957412719727,16.0765056610107,61.0824775695801,14.7518272399902
" 9009","2022",2,38,1,0,22,"Milpa Alta",12.0025453567505,37.3716125488281,19.1254615783691,57.1377410888672,14.9708881378174
" 9010","2018",6,260,2,3,31,"Ãlvaro ObregÃ³n",22.8304595947266,34.5515213012695,23.1465625762939,57.3205108642578,14.9783372879028
" 9010","2019",1,310,3,3,11,"Ãlvaro ObregÃ³n",20.5064144134521,42.1052360534668,20.0442180633545,54.1227035522461,15.6132678985596
" 9010","2020",0,148,0,3,4,"Ãlvaro ObregÃ³n",16.4654388427734,32.5905151367188,16.386682510376,51.7261581420898,15.8477945327759
" 9010","2021",4,84,1,1,4,"Ãlvaro ObregÃ³n",18.22780418396,30.310474395752,15.201003074646,57.6594276428223,15.2220420837402
" 9010","2022",4,194,2,1,16,"Ãlvaro ObregÃ³n",19.1274242401123,30.2745132446289,17.5899429321289,55.5752639770508,14.9964904785156
" 9011","2018",14,158,4,0,4,"TlÃ¡huac",22.0172557830811,45.1602439880371,23.1465625762939,57.268928527832,16.0623168945312
" 9011","2019",9,178,3,0,3,"TlÃ¡huac",16.9661388397217,45.0490798950195,22.5924587249756,51.8958625793457,16.8911228179932
" 9011","2020",4,74,0,0,2,"TlÃ¡huac",14.6032285690308,43.7763137817383,20.9862327575684,51.6908416748047,17.163631439209
" 9011","2021",2,26,0,0,3,"TlÃ¡huac",17.7324752807617,41.680850982666,20.9412498474121,52.0538101196289,16.0979824066162
" 9011","2022",3,68,1,0,17,"TlÃ¡huac",18.4814300537109,42.3795280456543,21.0294933319092,52.8539886474609,16.584508895874
" 9012","2018",1,215,1,0,11,"Tlalpan",17.2030372619629,37.1927337646484,23.1465606689453,62.3605842590332,11.4467344284058
" 9012","2019",1,164,0,3,14,"Tlalpan",15.086217880249,43.4055633544922,21.123083114624,52.6542625427246,14.7927875518799
" 9012","2020",1,125,1,0,8,"Tlalpan",13.614821434021,34.944206237793,18.7556781768799,51.9089889526367,12.9011878967285
" 9012","2021",1,55,1,0,6,"Tlalpan",6.97397994995117,38.97412109375,13.8211469650269,71.7906341552734,14.3699197769165
" 9012","2022",1,97,0,0,17,"Tlalpan",18.225715637207,38.1615753173828,18.4372215270996,59.299388885498,14.1797981262207
" 9013","2018",7,132,3,1,2,"Xochimilco",20.1189517974854,41.327220916748,23.1465625762939,58.9112281799316,15.6857776641846
" 9013","2019",4,112,1,0,4,"Xochimilco",13.7521476745605,44.0146293640137,21.9378890991211,52.5629577636719,16.0655536651611
" 9013","2020",2,73,0,0,2,"Xochimilco",12.9169397354126,40.0571784973145,19.5224609375,51.8628616333008,15.5288248062134
" 9013","2021",3,39,0,0,4,"Xochimilco",10.5041522979736,39.9383773803711,17.6343860626221,56.5500679016113,15.3891410827637
" 9013","2022",5,74,2,1,15,"Xochimilco",16.8167018890381,39.2662963867188,19.1303443908691,54.999828338623,15.6283597946167
" 9014","2018",4,27,0,0,4,"Benito JuÃ¡rez",28.8482990264893,39.7933311462402,23.1465625762939,54.2161674499512,17.6332187652588
" 9014","2019",0,28,0,0,8,"Benito JuÃ¡rez",25.2117786407471,42.9308547973633,20.3538188934326,49.5320777893066,16.6069393157959
" 9014","2020",0,18,0,0,2,"Benito JuÃ¡rez",21.5465888977051,35.963996887207,18.5199565887451,50.7707481384277,18.0214233398438
" 9014","2021",0,18,0,0,2,"Benito JuÃ¡rez",25.40700340271,32.2869415283203,19.5851097106934,50.4733695983887,16.0431327819824
" 9014","2022",0,22,0,2,4,"Benito JuÃ¡rez",25.3105735778809,34.1161193847656,19.8748378753662,51.5115585327148,16.1121063232422
" 9015","2018",16,98,2,1,62,"CuauhtÃ©moc",32.0949783325195,46.2161712646484,23.1465625762939,54.3051681518555,17.667797088623
