"cvegeo","fecha","J029","J189","J209","J441","J459","nomgeo","POB","IM","GM","num_establecimientos","densidad_industrial","clasif_industrial","cases","PM10","PM25","NO2","TMP","RH","E","SIR","tasa","idarea","idarea1","idtime","RR","Predicted_Mean","Predicted_Mode","Lower_CI","Median","Upper_CI","Exc_Prob","NO2_std","TMP_std","PM10_std","PM25_std","RH_std","IM_std","superficie_km2","dens_industrial_km2","dens_industrial_km2_std","dens_industrial_pob","dens_industrial_pob_std","RR_corrected"
"09002",2018,6,99,3,1,29,"Azcapotzalco",429594,52.03740634,"Muy bajo",86,2.001890157,"Media",138,37.64822769,24.80927849,31.07769394,17.09185219,55.44536591,95.3133136338819,1.44785649285142,32.123353678124,1,1,1,115.02917843395,116.170389462761,112.865607680214,87.261039714627,115.040981841586,151.544650244063,0.0529584575954074,2.49976741798558,0.357041326596601,-0.731815801873284,1.53436743476483,0.272824009191941,-0.890299833696648,33.3230915304136,2.58079295918594,1.54999797025102,20.0189015675265,0.0842315486487622,1.20685320915188
"09002",2019,4,123,1,0,14,"Azcapotzalco",435590,52.03740634,"Muy bajo",77,1.767717349,"Media",142,47.66350937,26.07449532,28.73591042,18.05475235,53.03223419,95.3133136338819,1.48982334771668,32.5994627975849,1,1,2,121.272452057762,122.586316315196,118.791170671846,90.8583956409306,121.289309580609,161.736941635185,0.11718737469822,1.98342549586681,0.958420250510799,1.16694704487317,2.08646322519787,-0.43203959836587,-0.890299833696648,33.3230915304136,2.31070997508509,1.26908850883689,17.6771734888312,-0.0246496704758589,1.27235584866554
"09002",2020,0,48,0,0,15,"Azcapotzalco",439115,60.63795725,"Muy bajo",72,1.639661592,"Media",63,37.64822769,19.80338478,24.5844841,18.03284645,51.81707001,95.3133136338819,0.660977964127824,14.3470389305763,1,1,3,86.197275616429,87.1991819880504,84.2956724255201,63.9286945791128,86.2063184835429,116.153039683575,0.000399371158550155,1.06807383022556,0.944738929106333,-0.731815801873284,-0.650027191606264,-0.786982928061037,1.06741675479226,33.3230915304136,2.16066387280683,1.11302769694015,16.3966159206586,-0.0841906011459904,0.904357138893844
"09002",2021,3,33,0,2,5,"Azcapotzalco",438758,60.63795725,"Muy bajo",72,1.64099572,"Media",43,42.86465454,21.76723289,27.57639694,17.48365974,50.93523026,95.3133136338819,0.451143689801531,9.80039110397987,1,1,4,55.3107621901924,55.865913750945,54.1787577809433,41.9570442143335,55.2891858623513,73.0778206502039,0,1.7277633418408,0.601744580982245,0.257148643862668,0.206926532745391,-1.04456387249157,1.06741675479226,33.3230915304136,2.16066387280683,1.11302769694015,16.4099571973616,-0.0835702838319,0.58030468233066
"09002",2022,2,75,1,1,14,"Azcapotzalco",439548,60.63795725,"Muy bajo",71,1.615295713,"Media",93,43.64900208,22.07395935,26.88786316,17.38093567,51.28347778,95.3133136338819,0.975729375617264,21.1580987741953,1,1,5,84.8069400851292,85.6318912343373,83.2315262581315,64.5170839234094,84.8119143161602,111.440091809525,7.8420147745617e-05,1.5759479189494,0.537588302644222,0.405850399387231,0.340771090741375,-0.942842527885377,1.06741675479226,33.3230915304136,2.13065465235118,1.0818155345608,16.1529571286867,-0.0955197843084989,0.889770136529826
"09003",2018,5,202,0,0,28,"Coyoacan",625104,52.52988254,"Muy bajo",35,0.559906832,"Media",235,34.75918579,22.06868744,23.79011726,17.3033371,55.42872238,96.6436362839858,2.43161380341129,37.5937444009317,2,2,1,225.294695980783,227.599291543322,221.00507891388,170.122017161724,225.344558454091,297.984064165985,0.998938751577738,0.892923182213053,0.489124145650126,-1.2795393305453,0.338470616032593,0.267962518001442,-0.778199011753372,53.622314267505,0.652713342907878,-0.455370151607357,5.59906831503238,-0.586234436872523,2.33119018120094
"09003",2019,5,162,1,1,37,"Coyoacan",625438,52.52988254,"Muy bajo",34,0.543619032,"Media",206,37.19061661,21.19923401,20.86140823,17.65044785,52.02936172,96.6436362839858,2.13154231277756,32.9369178080002,2,2,2,247.238743492935,249.571444073357,242.841852178085,188.817574770845,247.269307469834,323.507494973573,0.999945270305834,0.247169534635592,0.705912030817836,-0.818572714432085,-0.040928050898334,-0.724973590019095,-0.778199011753372,53.622314267505,0.634064390253367,-0.474766661400658,5.43619031782527,-0.593807628254491,2.5582516655978
"09003",2020,2,67,0,0,17,"Coyoacan",621774,60.87695306,"Muy bajo",44,0.70765262,"Media",86,34.75918579,18.20265388,17.93194962,17.17817307,51.62229538,96.6436362839858,0.889867179120727,13.8313921135332,2,2,3,148.578593679101,149.976911176741,145.9774884734,113.479817810233,148.609598423968,194.301307795918,0.585375220809169,-0.398749388499868,0.410952998940415,-1.2795393305453,-1.34852943292256,-0.843875615362227,1.12181862587151,53.622314267505,0.820553916798475,-0.280801563467645,7.07652619762164,-0.517538409812359,1.53738620970867
"09003",2021,0,81,0,0,20,"Coyoacan",615823,60.87695306,"Muy bajo",44,0.714491014,"Media",101,34.28672791,18.60569382,20.10209846,16.32192993,52.6423111,96.6436362839858,1.04507657082783,16.4008164683683,2,2,4,97.9772320717089,98.9269710108258,96.0441860639411,74.6711730056561,97.9410067637537,128.830826792345,0.00298389941597155,0.079748651032586,-0.123813324228661,-1.36911099691071,-1.17265708521566,-0.545934166826264,1.12181862587151,53.622314267505,0.820553916798475,-0.280801563467645,7.14491014463571,-0.514358823084427,1.01379910606638
"09003",2022,2,200,0,0,57,"Coyoacan",611552,60.87695306,"Muy bajo",44,0.719480927,"Media",259,35.73519516,19.00839996,21.39988136,16.55743027,53.04485321,96.6436362839858,2.67994883014265,42.3512636701376,2,2,5,167.572700494854,169.105499353058,164.63013457378,128.548107537331,167.57557014516,218.423090296361,0.866879430480155,0.365897951920511,0.0232683223780122,-1.09450106711501,-0.996930396000227,-0.428353646253382,1.12181862587151,53.622314267505,0.820553916798475,-0.280801563467645,7.19480927214693,-0.512038708342623,1.73392379403487
