anio,enfermedad,contaminante,lag,correlacion
2018,J029,NO2,0,0.1598227877538124
2018,J029,PM10,0,0.18007948412899297
2018,J029,PM25,3,0.15277119037929757
2018,J029,RH,1,-0.23300628036295967
2018,J029,TMP,2,0.05521850050070969
2018,J189,NO2,6,0.37772954385508056
2018,J189,PM10,4,0.450206487469736
2018,J189,PM25,2,0.3544579785338961
2018,J189,RH,1,-0.3721555989175716
2018,J189,TMP,5,-0.24939390527550215
2018,J209,NO2,7,0.1328720447168023
2018,J209,PM10,7,0.1868428550247261
2018,J209,PM25,1,0.1308171449512708
2018,J209,RH,6,-0.15899112377464186
2018,J209,TMP,0,-0.0730226622617994
2018,J441,NO2,5,0.10038881257089784
2018,J441,PM10,0,0.07308932241887953
2018,J441,PM25,0,0.07217243127742405
2018,J441,RH,4,0.06846435600954319
2018,J441,TMP,4,-0.1546441971343962
2018,J459,NO2,7,-0.10107936271523148
2018,J459,PM10,7,-0.11204723054290845
2018,J459,PM25,7,-0.11828912372345086
2018,J459,RH,8,0.1445105098271655
2018,J459,TMP,6,-0.09863699887438238
2019,J029,NO2,8,-0.13355079700252492
2019,J029,PM10,8,-0.12651038513373025
2019,J029,PM25,8,-0.10661736212312124
2019,J029,RH,8,0.09794699258556945
2019,J029,TMP,4,-0.08568059982574332
2019,J189,NO2,0,0.4362831287153726
2019,J189,PM10,0,0.3862083703048313
2019,J189,PM25,1,0.25553592110664586
2019,J189,RH,1,-0.29043127486366516
2019,J189,TMP,6,-0.3824346398021841
2019,J209,NO2,5,0.13687981748637715
2019,J209,PM10,3,0.07878509418887496
2019,J209,PM25,1,0.05286009563955283
2019,J209,RH,2,-0.10260876863146026
2019,J209,TMP,6,-0.13466391013762044
2019,J441,NO2,0,0.09676488375914101
2019,J441,PM10,0,0.08904428133154996
2019,J441,PM25,3,-0.04624972900628803
2019,J441,RH,0,-0.07082365960243511
2019,J441,TMP,6,-0.11408258320427273
2019,J459,NO2,0,0.05528689556463765
2019,J459,PM10,8,-0.08502068307667868
2019,J459,PM25,8,-0.09117001201943316
2019,J459,RH,8,0.10314032278807145
2019,J459,TMP,6,-0.11711291351517607
2020,J029,NO2,2,0.13078629340944642
2020,J029,PM10,1,0.17285800497196932
2020,J029,PM25,1,0.10710398235331836
2020,J029,RH,3,-0.14851137508005377
2020,J029,TMP,3,0.0402936968751319
2020,J189,NO2,8,-0.0859043345315387
2020,J189,PM10,4,0.17368377954175368
2020,J189,PM25,4,0.2071889396892867
2020,J189,RH,5,-0.2077550462768562
2020,J189,TMP,5,0.06077794157771935
2020,J209,NO2,4,0.0937468826605386
2020,J209,PM10,4,0.08062523500976336
2020,J209,PM25,2,0.10425140555989836
2020,J209,RH,4,-0.08354115670993563
2020,J209,TMP,7,-0.08710322778303806
2020,J441,NO2,5,-0.09418432155564371
2020,J441,PM10,6,-0.08954320475099765
2020,J441,PM25,1,-0.07925261413540739
2020,J441,RH,8,0.12184524098873577
2020,J441,TMP,5,0.07162305821721955
2020,J459,NO2,1,0.2783605310233412
2020,J459,PM10,0,0.21261416370021682
2020,J459,PM25,1,0.10864320730729489
2020,J459,RH,0,-0.21080313120178468
2020,J459,TMP,5,-0.24818886107069352
2021,J029,NO2,1,-0.10517097461755168
2021,J029,PM10,8,-0.14872005761267762
2021,J029,PM25,1,-0.1037518210602889
2021,J029,RH,8,0.14670390315975318
2021,J029,TMP,3,-0.07002876142435786
2021,J189,NO2,1,0.21159493766057041
2021,J189,PM10,5,0.19974585538795206
2021,J189,PM25,1,0.12997276321176282
2021,J189,RH,1,-0.19577338019127355
2021,J189,TMP,3,-0.24251333305225276
2021,J209,NO2,3,0.09582553970003989
2021,J209,PM10,3,0.07281036189217265
2021,J209,PM25,2,0.07116196514429865
2021,J209,RH,2,0.088846350120516
2021,J209,TMP,1,-0.11475106701818748
2021,J441,NO2,3,-0.09184498718099601
2021,J441,PM10,2,-0.0920278537272166
2021,J441,PM25,5,-0.08256555807479374
2021,J441,RH,6,0.11628379196045101
2021,J441,TMP,8,0.08488556448930393
2021,J459,NO2,2,0.1261023050229282
2021,J459,PM10,2,0.041953061207420726
2021,J459,PM25,2,0.05372369093375236
2021,J459,RH,1,0.05612592885012355
2021,J459,TMP,0,-0.12497140031598057
2022,J029,NO2,8,-0.10150012041541004
2022,J029,PM10,7,-0.13031435950076248
2022,J029,PM25,7,-0.1013670034057996
2022,J029,RH,5,0.16199781618234227
2022,J029,TMP,5,-0.08390447106283853
2022,J189,NO2,4,0.16495636205825065
2022,J189,PM10,0,0.06782568131576887
2022,J189,PM25,0,0.11893477565111982
2022,J189,RH,7,0.22517581850964605
2022,J189,TMP,7,-0.24558456242999602
2022,J209,NO2,3,0.10189987862350475
2022,J209,PM10,0,0.13390674544991896
2022,J209,PM25,0,0.14887413764611296
2022,J209,RH,3,0.07303553532242614
2022,J209,TMP,1,-0.09385976245400264
2022,J441,NO2,5,-0.05972710672671406
2022,J441,PM10,1,0.04241773086964848
2022,J441,PM25,1,0.07368721195945345
2022,J441,RH,0,0.04576131677337832
2022,J441,TMP,6,-0.05400996492813432
2022,J459,NO2,5,-0.05060870351490037
2022,J459,PM10,8,-0.07147667086902688
2022,J459,PM25,2,0.050570313633721074
2022,J459,RH,3,0.16197701583300436
2022,J459,TMP,7,-0.06819018743474237
